Gene ID,Gene Name,root,leaf,flower bud,flower,1 cm fruit,2 cm fruit,3 cm fruit,mature green fruit,breaker fruit,fruit at 10 days after the breaker stage
Solyc02g083370.1,Solyc02g083370.1,0.9,0.5,0.2,1,0.3,,0.3,1,2,1
Solyc02g083380.2,Solyc02g083380.2,197,18,17,65,2,3,8,19,136,412
Solyc02g083390.2,Solyc02g083390.2,60,22,39,21,72,85,55,59,58,46
Solyc02g083400.2,Solyc02g083400.2,29,10,14,13,6,13,9,34,19,32
Solyc02g083410.2,Solyc02g083410.2,11,20,4,8,6,9,12,6,7,6
Solyc02g083420.2,Solyc02g083420.2,44,22,54,29,29,25,18,26,32,33
Solyc02g083430.1,Solyc02g083430.1,12,2,4,6,4,9,9,9,7,10
Solyc02g083440.2,Solyc02g083440.2,0.3,,57,17,,,0.2,,,
Solyc02g083450.2,Solyc02g083450.2,6,4,12,6,4,6,2,3,0.2,0.3
Solyc02g083460.2,Solyc02g083460.2,78,12,14,37,8,14,13,40,50,43
Solyc02g083470.2,Solyc02g083470.2,22,7,7,11,13,16,13,17,13,23
Solyc02g083480.2,Solyc02g083480.2,9,,0.5,,,,,,,
Solyc02g083490.2,Solyc02g083490.2,28,0.9,3,14,5,2,0.7,0.1,,
Solyc02g083500.2,Solyc02g083500.2,12,23,32,28,42,43,32,37,48,67
Solyc02g083510.2,Solyc02g083510.2,,,16,10,0.2,0.1,,0.6,0.4,
Solyc02g083520.2,Solyc02g083520.2,0.6,0.4,0.9,0.4,0.1,,,0.3,,
Solyc02g083530.1,Solyc02g083530.1,,0.9,0.8,0.7,0.6,0.4,2,1,0.8,1
Solyc02g083540.2,Solyc02g083540.2,37,20,26,14,48,45,20,10,2,5
Solyc02g083550.1,Solyc02g083550.1,,0.4,0.3,,,,,,,
Solyc02g083560.2,Solyc02g083560.2,24,8,10,9,15,20,12,18,15,21
Solyc02g083570.2,Solyc02g083570.2,123,106,65,176,41,32,7,8,6,3
Solyc02g083580.2,Solyc02g083580.2,79,15,112,78,76,57,19,18,9,9
Solyc02g083590.2,Solyc02g083590.2,95,44,59,115,60,85,63,93,94,148
Solyc02g083600.2,Solyc02g083600.2,2,1,2,2,2,3,2,3,2,2
Solyc02g083610.2,Solyc02g083610.2,4,0.3,4,3,3,3,2,2,2,4
Solyc02g083620.2,Solyc02g083620.2,5,11,8,4,9,5,4,2,2,0.4
Solyc02g083630.2,Solyc02g083630.2,22,10,9,3,9,6,8,3,1,0.1
Solyc02g083640.2,Solyc02g083640.2,12,0.8,3,1,8,2,1,0.1,,
Solyc02g083650.2,Solyc02g083650.2,66,58,103,81,110,82,69,85,87,141
Solyc02g083660.1,Solyc02g083660.1,33,11,23,23,11,11,16,15,9,4
Solyc02g083670.2,Solyc02g083670.2,68,7,2,6,10,17,8,11,1,
Solyc02g083680.1,Solyc02g083680.1,57,4,0.9,2,5,11,6,10,1,0.2
Solyc02g083690.2,Solyc02g083690.2,0.6,0.3,4,2,3,2,1,0.1,0.1,0.1
Solyc02g083700.2,Solyc02g083700.2,7,2,7,5,69,90,68,29,24,2
Solyc02g083710.2,Solyc02g083710.2,146,49,63,83,109,122,89,111,141,187
Solyc02g083720.2,Solyc02g083720.2,4,1,2,1,0.3,0.1,,,,
Solyc02g083730.2,Solyc02g083730.2,15,,2,0.8,,,,0.1,,
Solyc02g083740.1,Solyc02g083740.1,5,0.5,0.2,0.2,0.1,0.2,0.5,2,0.2,
Solyc02g083750.1,Solyc02g083750.1,29,10,32,48,18,32,47,46,57,43
Solyc02g083760.2,Solyc02g083760.2,47,22,23,16,37,45,25,49,7,0.1
Solyc02g083780.1,Solyc02g083780.1,5,2,2,2,3,6,6,5,3,3
Solyc02g083790.2,Solyc02g083790.2,22,0.4,4,6,2,2,0.8,2,2,2
Solyc02g083800.2,Solyc02g083800.2,26,4,16,16,27,23,21,29,39,48
Solyc02g083810.2,Solyc02g083810.2,9,1665,315,460,224,282,148,147,137,99
Solyc02g083820.1,Solyc02g083820.1,38,10,7,16,12,16,17,31,29,34
Solyc02g083830.1,Solyc02g083830.1,,,,,0.5,,,,,0.1
Solyc02g083840.1,Solyc02g083840.1,0.5,,,,,,0.4,,,0.4
Solyc02g083850.2,Solyc02g083850.2,7,0.4,15,4,4,7,9,15,16,0.8
Solyc02g083860.2,Solyc02g083860.2,7,45,485,83,100,139,33,80,145,74
Solyc02g083870.2,Solyc02g083870.2,66,,,,4,1,0.2,0.2,,
Solyc02g083880.2,Solyc02g083880.2,144,1,71,6,419,312,189,218,4,4
Solyc02g083890.2,Solyc02g083890.2,22,1,5,2,19,4,3,0.3,,
Solyc02g083900.2,Solyc02g083900.2,27,6,6,9,8,19,29,28,22,27
Solyc02g083910.2,Solyc02g083910.2,0.4,,,,,,,,,
Solyc02g083920.1,Solyc02g083920.1,1,,0.3,0.5,,,,,,
Solyc02g083930.1,Solyc02g083930.1,8,0.4,7,0.8,22,25,31,12,0.4,
Solyc02g083940.2,Solyc02g083940.2,6,3,6,3,7,7,9,8,7,13
Solyc02g083950.2,Solyc02g083950.2,,,23,0.3,,,,,,0.1
Solyc02g083960.2,Solyc02g083960.2,18,6,4,5,7,9,10,7,7,13
Solyc02g083970.1,Solyc02g083970.1,8,93,34,25,33,47,54,48,104,59
Solyc02g083980.2,Solyc02g083980.2,3,4,2,2,2,4,7,3,4,2
Solyc02g083990.2,Solyc02g083990.2,61,25,25,20,15,18,16,17,11,7
Solyc02g084000.2,Solyc02g084000.2,16,9,13,23,8,11,13,11,14,14
Solyc02g084010.1,Solyc02g084010.1,,0.6,1,2,,,0.2,15,1,0.2
Solyc02g084020.2,Solyc02g084020.2,48,34,46,36,83,38,54,39,29,52
Solyc02g084030.2,Solyc02g084030.2,21,21,20,16,29,23,14,22,14,19
Solyc02g084060.1,Solyc02g084060.1,,,,0.3,0.3,0.5,,,,
Solyc02g084070.1,Solyc02g084070.1,0.2,,,,,,,,0.2,0.1
Solyc02g084080.1,Solyc02g084080.1,,,0.3,0.5,,0.3,0.4,,0.2,
Solyc02g084090.1,Solyc02g084090.1,0.5,0.6,0.6,0.6,1,1,1,0.9,0.6,0.3
Solyc02g084100.1,Solyc02g084100.1,,,0.1,0.2,,,0.1,,,0.2
Solyc02g084120.1,Solyc02g084120.1,0.8,0.4,0.6,0.4,0.3,2,0.3,0.5,0.4,0.5
Solyc02g084130.2,Solyc02g084130.2,0.9,0.2,0.4,0.3,0.2,0.3,0.5,0.7,0.1,1
Solyc02g084140.1,Solyc02g084140.1,,0.1,,,0.2,,,,,
Solyc02g084150.1,Solyc02g084150.1,0.4,0.1,0.7,0.1,,,0.1,0.2,,
Solyc02g084160.1,Solyc02g084160.1,0.2,0.1,0.1,0.4,0.3,0.6,0.4,0.3,0.7,
Solyc02g084170.1,Solyc02g084170.1,0.1,0.3,0.9,0.3,0.4,0.2,0.3,0.2,0.3,0.2
Solyc02g084180.1,Solyc02g084180.1,0.7,0.1,0.6,,0.2,0.5,0.6,0.2,0.3,0.9
Solyc02g084190.1,Solyc02g084190.1,0.4,,,0.3,0.4,,0.4,0.4,,2
Solyc02g084200.1,Solyc02g084200.1,0.5,0.1,0.1,0.4,0.3,2,1,0.6,0.2,0.8
Solyc02g084210.1,Solyc02g084210.1,6,2,14,3,73,81,27,19,0.3,
Solyc02g084220.2,Solyc02g084220.2,17,9,9,11,10,9,8,6,7,12
Solyc02g084230.1,Solyc02g084230.1,62,22,59,63,51,71,124,83,96,66
Solyc02g084240.2,Solyc02g084240.2,97,67,110,165,127,111,152,151,191,228
Solyc02g084250.2,Solyc02g084250.2,0.2,0.1,0.2,0.3,0.2,0.2,0.3,0.1,0.1,0.1
Solyc02g084260.1,Solyc02g084260.1,0.4,0.3,0.2,0.1,0.4,0.3,0.3,,0.1,0.1
Solyc02g084280.2,Solyc02g084280.2,7,3,6,7,2,4,2,8,5,15
Solyc02g084290.1,Solyc02g084290.1,0.8,,1,0.8,0.2,1,0.9,4,1,5
Solyc02g084300.1,Solyc02g084300.1,0.8,0.3,2,1,2,2,5,1,3,10
Solyc02g084310.1,Solyc02g084310.1,1,0.4,2,1,3,3,5,4,6,11
Solyc02g084320.1,Solyc02g084320.1,4,2,3,3,6,6,9,4,4,8
Solyc02g084330.2,Solyc02g084330.2,1,0.4,2,1,2,3,3,4,3,6
Solyc02g084340.1,Solyc02g084340.1,37,19,22,38,26,37,69,32,31,32
Solyc02g084350.2,Solyc02g084350.2,8,1,1,0.6,0.6,0.5,0.1,0.1,0.1,
Solyc02g084360.2,Solyc02g084360.2,227,109,166,281,260,498,727,626,544,692
Solyc02g084370.1,Solyc02g084370.1,7,0.4,0.7,0.2,0.3,0.1,0.1,0.1,,
Solyc02g084380.2,Solyc02g084380.2,16,9,24,27,11,13,12,18,21,27
Solyc02g084390.2,Solyc02g084390.2,29,10,18,13,16,27,23,12,2,2
Solyc02g084400.2,Solyc02g084400.2,2,2,10,11,12,17,7,17,2,5
Solyc02g084410.2,Solyc02g084410.2,25,134,132,124,10,4,2,2,0.5,0.8
Solyc02g084420.2,Solyc02g084420.2,0.4,0.1,5,7,0.7,1,0.4,6,4,3
Solyc02g084430.2,Solyc02g084430.2,0.7,1,12,20,1,3,0.4,12,5,6
Solyc02g084440.2,Solyc02g084440.2,3,1790,443,991,431,596,977,2433,2199,584
Solyc02g084450.2,Solyc02g084450.2,6,1,2,3,4,9,6,6,3,6
Solyc02g084480.1,Solyc02g084480.1,92,39,40,61,49,98,80,85,103,118
Solyc02g084490.1,Solyc02g084490.1,66,34,35,47,44,59,73,77,56,65
Solyc02g084500.2,Solyc02g084500.2,45,24,26,37,21,25,33,41,33,34
Solyc02g084510.2,Solyc02g084510.2,7,3,3,3,4,8,9,8,8,10
Solyc02g084520.2,Solyc02g084520.2,15,6,8,12,10,13,16,15,16,20
Solyc02g084530.1,Solyc02g084530.1,,0.1,0.1,,1,0.5,0.1,,,0.1
Solyc02g084540.2,Solyc02g084540.2,1,4,4,2,5,3,2,2,1,0.2
Solyc02g084550.2,Solyc02g084550.2,36,24,45,43,34,33,35,46,39,48
Solyc02g084560.2,Solyc02g084560.2,4,8,7,4,6,5,5,7,4,3
Solyc02g084570.2,Solyc02g084570.2,56,42,9,17,0.9,3,2,3,0.2,0.3
Solyc02g084580.1,Solyc02g084580.1,2,6,9,1,1,1,2,,,
Solyc02g084590.2,Solyc02g084590.2,14,18,49,26,14,7,6,5,3,1
Solyc02g084600.2,Solyc02g084600.2,5,0.5,8,4,2,6,5,21,22,0.5
Solyc02g084610.1,Solyc02g084610.1,17,8,15,23,11,13,8,7,1,0.1
Solyc02g084620.2,Solyc02g084620.2,15,8,9,12,11,13,16,12,7,7
Solyc02g084630.2,Solyc02g084630.2,13,12,192,124,198,134,123,76,29,17
Solyc02g084640.2,Solyc02g084640.2,1,19,43,17,42,41,27,20,11,1
Solyc02g084650.2,Solyc02g084650.2,15,22,35,62,22,20,17,15,21,8
Solyc02g084660.2,Solyc02g084660.2,45,13,24,24,27,30,25,19,16,12
Solyc02g084670.2,Solyc02g084670.2,0.2,,115,1,0.3,0.1,0.2,0.2,,
Solyc02g084680.2,Solyc02g084680.2,3,3,9,6,2,1,1,3,1,2
Solyc02g084690.2,Solyc02g084690.2,64,20,25,34,44,62,79,92,80,92
Solyc02g084700.2,Solyc02g084700.2,28,12,18,19,28,32,38,35,32,41
Solyc02g084710.2,Solyc02g084710.2,61,58,270,146,169,105,55,32,41,88
Solyc02g084720.2,Solyc02g084720.2,63,41,44,36,186,313,157,185,4,6
Solyc02g084730.2,Solyc02g084730.2,1,0.8,0.4,0.4,2,2,2,1,0.4,0.7
Solyc02g084740.2,Solyc02g084740.2,56,20,11,17,19,31,18,24,9,5
Solyc02g084750.2,Solyc02g084750.2,12,23,8,11,15,19,16,12,10,24
Solyc02g084760.2,Solyc02g084760.2,160,61,67,97,55,80,91,88,94,80
Solyc02g084770.2,Solyc02g084770.2,10,2,6,5,9,6,5,5,2,0.8
Solyc02g084780.2,Solyc02g084780.2,96,,,0.5,,0.1,0.1,,,
Solyc02g084790.2,Solyc02g084790.2,83,,,,0.2,0.4,0.1,,,
Solyc02g084800.2,Solyc02g084800.2,2,,,,,,,,,
Solyc02g084810.2,Solyc02g084810.2,17,7,11,8,19,16,10,16,7,16
Solyc02g084820.2,Solyc02g084820.2,30,14,22,16,36,36,24,33,24,27
Solyc02g084830.2,Solyc02g084830.2,3,2,3,2,3,4,3,3,2,4
Solyc02g084840.2,Solyc02g084840.2,1,9,3,4,0.1,0.1,,0.2,0.1,
Solyc02g084850.2,Solyc02g084850.2,48,9,6,3,10,28,24,28,,0.2
Solyc02g084860.1,Solyc02g084860.1,166,,2,36,,,0.2,1,,
Solyc02g084870.2,Solyc02g084870.2,23,6,10,14,11,28,61,59,147,122
Solyc02g084880.2,Solyc02g084880.2,25,1,2,2,2,0.8,0.6,0.6,0.1,
Solyc02g084890.1,Solyc02g084890.1,8,8,1,2,12,6,3,29,12,19
Solyc02g084900.2,Solyc02g084900.2,12,0.4,8,9,17,22,28,23,14,14
Solyc02g084910.2,Solyc02g084910.2,2,0.1,2,2,0.8,0.3,0.8,0.9,0.4,0.2
Solyc02g084920.2,Solyc02g084920.2,323,167,228,220,363,279,416,353,378,331
Solyc02g084930.2,Solyc02g084930.2,80,7,2,2,0.6,0.2,0.6,0.4,,
Solyc02g084940.1,Solyc02g084940.1,3,,2,2,2,2,0.7,,,
Solyc02g084950.2,Solyc02g084950.2,26,6,32,63,0.7,1,2,2,8,5
Solyc02g084960.1,Solyc02g084960.1,8,1,23,17,0.5,1,1,1,1,0.6
Solyc02g084970.2,Solyc02g084970.2,0.1,2,4,4,2,2,1,2,2,0.8
Solyc02g084980.2,Solyc02g084980.2,9,3,12,21,0.2,0.4,0.3,2,0.1,2
Solyc02g084990.2,Solyc02g084990.2,33,24,192,150,115,219,84,157,15,34
Solyc02g085000.2,Solyc02g085000.2,16,6,61,133,14,23,26,34,40,76
Solyc02g085010.1,Solyc02g085010.1,33,24,39,20,40,17,4,70,4,11
Solyc02g085020.2,Solyc02g085020.2,,30,0.6,2,,,,,,
Solyc02g085030.2,Solyc02g085030.2,36,4,5,8,16,17,12,10,4,4
Solyc02g085040.2,Solyc02g085040.2,62,19,38,33,56,80,77,69,56,74
Solyc02g085050.2,Solyc02g085050.2,56,13,44,35,54,56,49,43,34,46
Solyc02g085080.2,Solyc02g085080.2,14,9,14,11,24,37,15,14,11,19
Solyc02g085090.1,Solyc02g085090.1,0.4,0.1,3,0.4,0.9,0.5,0.2,0.1,0.2,0.1
Solyc02g085100.2,Solyc02g085100.2,16,73,63,35,49,52,24,27,8,3
Solyc02g085110.2,Solyc02g085110.2,16,3,1,0.6,1,1,0.3,,,
Solyc02g085120.2,Solyc02g085120.2,26,5,6,2,2,2,1,,,
Solyc02g085130.2,Solyc02g085130.2,8,1,15,24,2,2,3,2,0.7,0.5
Solyc02g085140.2,Solyc02g085140.2,25,15,4,6,6,6,8,23,24,9
Solyc02g085150.2,Solyc02g085150.2,0.6,0.3,324,1,,,0.2,0.3,0.1,
Solyc02g085160.1,Solyc02g085160.1,,6,8,10,3,1,2,2,1,0.7
Solyc02g085170.2,Solyc02g085170.2,0.1,0.4,14,3,0.5,0.4,0.6,1,2,3
Solyc02g085190.1,Solyc02g085190.1,2,0.2,0.5,0.3,0.9,0.2,0.2,0.1,,0.1
Solyc02g085210.1,Solyc02g085210.1,23,5,5,8,23,21,36,20,20,22
Solyc02g085220.2,Solyc02g085220.2,0.6,3,4,1,0.6,0.8,0.6,0.5,0.3,0.4
Solyc02g085230.2,Solyc02g085230.2,8,2,2,2,9,8,4,7,2,6
Solyc02g085240.2,Solyc02g085240.2,6,5,8,3,9,5,5,7,3,1
Solyc02g085250.2,Solyc02g085250.2,9,11,11,13,22,20,26,21,12,22
Solyc02g085260.1,Solyc02g085260.1,0.2,,0.6,,0.5,0.3,,,,
Solyc02g085270.1,Solyc02g085270.1,,,0.1,,,,,,,
Solyc02g085280.1,Solyc02g085280.1,108,39,70,39,92,101,117,152,125,109
Solyc02g085290.2,Solyc02g085290.2,0.9,35,5,10,6,7,6,4,1,0.8
Solyc02g085300.2,Solyc02g085300.2,19,1,27,16,0.3,0.4,0.4,0.4,0.1,0.2
Solyc02g085310.2,Solyc02g085310.2,38,46,31,39,25,21,48,51,113,36
Solyc02g085320.1,Solyc02g085320.1,10,3,9,5,2,3,4,6,34,54
Solyc02g085330.1,Solyc02g085330.1,0.2,0.4,41,0.2,,,,,,
Solyc02g085340.1,Solyc02g085340.1,24,13,11,10,12,25,26,15,5,1
Solyc02g085350.2,Solyc02g085350.2,226,79,144,246,251,336,343,260,358,911
Solyc02g085360.2,Solyc02g085360.2,5,2,4,3,30,37,29,4,2,3
Solyc02g085370.2,Solyc02g085370.2,2,1,2,2,2,3,3,2,2,2
Solyc02g085380.2,Solyc02g085380.2,0.1,,21,14,9,14,15,3,0.4,1
Solyc02g085390.2,Solyc02g085390.2,9,0.7,3,2,11,6,3,2,1,0.7
Solyc02g085400.2,Solyc02g085400.2,5,13,14,10,0.2,0.1,,0.3,0.1,0.2
Solyc02g085420.2,Solyc02g085420.2,228,102,162,170,185,148,245,154,187,189
Solyc02g085430.2,Solyc02g085430.2,0.4,0.3,13,18,2,0.8,0.5,0.2,,0.1
Solyc02g085440.2,Solyc02g085440.2,0.1,0.1,4,0.4,0.2,0.1,,0.3,,0.3
Solyc02g085450.1,Solyc02g085450.1,6,1,5,3,2,2,3,4,5,2
Solyc02g085460.1,Solyc02g085460.1,6,2,6,5,2,3,6,8,5,3
Solyc02g085470.2,Solyc02g085470.2,11,3,5,7,8,17,27,17,13,15
Solyc02g085480.2,Solyc02g085480.2,0.2,0.9,9,3,5,3,3,2,0.5,0.6
Solyc02g085490.1,Solyc02g085490.1,0.1,2,33,13,11,11,1,,0.1,
Solyc02g085500.2,Solyc02g085500.2,0.3,,4,8,4,5,2,5,11,23
Solyc02g085520.2,Solyc02g085520.2,10,9,7,7,20,27,25,19,16,27
Solyc02g085540.1,Solyc02g085540.1,571,172,317,343,558,460,799,555,761,612
Solyc02g085550.1,Solyc02g085550.1,,,0.1,,,,,,,
Solyc02g085560.2,Solyc02g085560.2,7,2,4,3,6,5,6,9,6,14
Solyc02g085570.2,Solyc02g085570.2,73,43,47,54,60,56,69,50,46,63
Solyc02g085580.2,Solyc02g085580.2,24,9,7,10,2,4,9,4,4,2
Solyc02g085590.2,Solyc02g085590.2,,0.3,2,0.7,0.3,0.6,0.8,2,0.2,0.1
Solyc02g085600.1,Solyc02g085600.1,15,16,26,74,6,9,16,34,88,68
Solyc02g085610.2,Solyc02g085610.2,13,14,16,28,11,12,19,14,13,18
Solyc02g085620.2,Solyc02g085620.2,0.5,0.1,0.5,0.1,0.4,0.2,0.2,0.1,,
Solyc02g085630.2,Solyc02g085630.2,8,,3,10,8,12,9,3,0.3,
Solyc02g085640.2,Solyc02g085640.2,66,9,20,30,16,26,23,31,23,49
Solyc02g085650.2,Solyc02g085650.2,5,2,2,3,5,6,5,5,3,8
Solyc02g085660.1,Solyc02g085660.1,0.3,,85,28,,,,0.1,1,
Solyc02g085670.2,Solyc02g085670.2,19,8,16,24,11,12,10,14,9,10
Solyc02g085680.1,Solyc02g085680.1,2,0.9,0.3,0.3,1,3,2,6,2,
Solyc02g085690.2,Solyc02g085690.2,8,3,16,32,22,24,12,17,11,13
Solyc02g085700.1,Solyc02g085700.1,20,75,61,209,46,48,21,30,73,101
Solyc02g085710.2,Solyc02g085710.2,6,8,9,33,5,7,3,5,8,8
Solyc02g085720.1,Solyc02g085720.1,5,0.5,2,2,2,3,2,1,0.6,0.2
Solyc02g085730.2,Solyc02g085730.2,73,76,200,47,212,312,125,70,55,27
Solyc02g085740.2,Solyc02g085740.2,10,9,10,14,11,11,12,11,10,15
Solyc02g085750.2,Solyc02g085750.2,0.2,17,3,0.9,0.3,0.1,0.1,,,
Solyc02g085760.2,Solyc02g085760.2,0.5,298,9,26,33,43,61,16,15,1
Solyc02g085770.2,Solyc02g085770.2,,44,1,0.9,0.2,,0.4,,0.2,
Solyc02g085780.2,Solyc02g085780.2,71,21,30,30,88,81,65,54,47,45
Solyc02g085790.2,Solyc02g085790.2,57,26,35,26,73,68,56,54,51,100
Solyc02g085800.1,Solyc02g085800.1,,,0.1,0.3,,,,,,
Solyc02g085810.2,Solyc02g085810.2,26,8,7,6,14,22,18,20,14,16
Solyc02g085820.2,Solyc02g085820.2,11,5,7,8,13,17,18,13,7,9
Solyc02g085830.2,Solyc02g085830.2,16,6,9,8,6,3,3,19,81,60
Solyc02g085840.2,Solyc02g085840.2,110,40,60,58,78,76,93,81,82,75
Solyc02g085850.1,Solyc02g085850.1,19,3,6,5,4,5,14,13,11,8
Solyc02g085860.2,Solyc02g085860.2,13,3,4,5,5,11,14,17,15,10
Solyc02g085870.2,Solyc02g085870.2,2,130,59,62,14,70,93,32,46,22
Solyc02g085880.1,Solyc02g085880.1,6,0.2,,0.2,0.5,0.5,0.1,,,
Solyc02g085910.2,Solyc02g085910.2,68,0.1,0.2,2,8,15,17,13,61,52
Solyc02g085920.2,Solyc02g085920.2,54,22,43,48,50,57,94,57,54,44
Solyc02g085930.2,Solyc02g085930.2,3,2,2,0.6,1,1,1,0.7,,0.1
Solyc02g085940.2,Solyc02g085940.2,9,3,17,7,17,33,24,6,3,4
Solyc02g085950.2,Solyc02g085950.2,42,149931,15132,13019,213,87,81,35,119,1
Solyc02g086010.1,Solyc02g086010.1,,0.1,0.7,,0.1,0.6,,0.2,,
Solyc02g086030.1,Solyc02g086030.1,,,2,0.4,,,,,,
Solyc02g086040.1,Solyc02g086040.1,,,2,0.1,0.1,,,0.1,,
Solyc02g086050.2,Solyc02g086050.2,6,37,34,15,34,25,11,14,21,24
Solyc02g086060.2,Solyc02g086060.2,13,10,8,8,11,7,5,9,7,12
Solyc02g086070.2,Solyc02g086070.2,14,7,7,6,8,7,6,9,5,11
Solyc02g086080.2,Solyc02g086080.2,4,7,8,3,11,10,7,6,7,0.9
Solyc02g086090.2,Solyc02g086090.2,5,8,14,11,14,16,30,10,6,8
Solyc02g086100.2,Solyc02g086100.2,6,2,2,5,4,4,4,6,5,5
Solyc02g086110.2,Solyc02g086110.2,0.3,0.4,4,8,0.8,0.4,0.3,0.1,0.2,
Solyc02g086120.2,Solyc02g086120.2,0.3,,0.6,0.4,0.2,0.2,0.1,,,0.4
Solyc02g086130.2,Solyc02g086130.2,13,15,12,16,16,28,32,33,29,22
Solyc02g086140.1,Solyc02g086140.1,4,0.5,2,0.7,5,0.7,1,0.1,0.6,0.1
Solyc02g086150.2,Solyc02g086150.2,6,44,33,23,28,19,28,18,21,13
Solyc02g086160.2,Solyc02g086160.2,48,66,35,33,106,84,66,49,63,41
Solyc02g086170.2,Solyc02g086170.2,7,7,9,5,5,5,6,7,3,6
Solyc02g086180.2,Solyc02g086180.2,95,169,252,159,707,412,171,2,1,
Solyc02g086200.1,Solyc02g086200.1,3,7,3,5,6,5,5,6,4,7
Solyc02g086210.2,Solyc02g086210.2,3,2,1,1,2,1,1,9,6,3
Solyc02g086220.2,Solyc02g086220.2,29,18,22,29,29,35,53,40,25,24
Solyc02g086230.1,Solyc02g086230.1,2,0.9,1,0.7,0.9,2,2,2,0.9,1
Solyc02g086240.2,Solyc02g086240.2,230,86,176,161,421,286,313,255,205,175
Solyc02g086250.2,Solyc02g086250.2,5,2,3,1,8,6,4,4,1,
Solyc02g086260.1,Solyc02g086260.1,11,11,25,21,39,36,52,34,25,7
Solyc02g086270.2,Solyc02g086270.2,12,0.3,1,4,0.7,2,2,8,4,1
Solyc02g086280.2,Solyc02g086280.2,4,0.1,0.5,2,,0.1,,0.1,,
Solyc02g086290.1,Solyc02g086290.1,0.5,,,,,0.2,0.7,0.8,0.2,0.2
Solyc02g086300.2,Solyc02g086300.2,7,0.4,2,0.8,49,132,34,153,34,15
Solyc02g086310.1,Solyc02g086310.1,,,,0.2,,,,0.6,,2
Solyc02g086320.1,Solyc02g086320.1,40,23,43,35,48,55,44,44,33,52
Solyc02g086330.2,Solyc02g086330.2,,,,,,0.6,0.4,,,0.2
Solyc02g086340.2,Solyc02g086340.2,15,7,9,6,14,19,16,19,11,15
Solyc02g086350.2,Solyc02g086350.2,3,6,5,10,3,4,4,5,3,
Solyc02g086360.2,Solyc02g086360.2,39,0.9,4,10,2,9,21,19,16,14
Solyc02g086370.2,Solyc02g086370.2,9,6,5,3,11,12,10,11,4,1
Solyc02g086380.1,Solyc02g086380.1,26,13,12,12,13,7,11,9,8,5
Solyc02g086400.1,Solyc02g086400.1,,,,,0.6,0.2,,0.2,,
Solyc02g086410.1,Solyc02g086410.1,0.1,,0.1,,,,,,,0.1
Solyc02g086420.1,Solyc02g086420.1,30,2,2,,,,,,,
Solyc02g086430.2,Solyc02g086430.2,21,0.4,0.8,0.1,0.4,0.1,0.1,,,
Solyc02g086440.2,Solyc02g086440.2,19,10,8,16,9,24,27,15,14,14
Solyc02g086450.1,Solyc02g086450.1,6,2,8,5,23,8,2,2,0.2,0.2
Solyc02g086460.2,Solyc02g086460.2,452,90,17,50,14,85,70,187,374,253
Solyc02g086470.2,Solyc02g086470.2,5,1,2,1,5,5,2,2,0.3,0.1
Solyc02g086480.1,Solyc02g086480.1,7,0.3,4,1,1,5,1,5,,1
Solyc02g086490.2,Solyc02g086490.2,0.2,0.5,3,0.1,0.3,0.5,0.3,4,,0.7
Solyc02g086500.2,Solyc02g086500.2,8,3,4,4,6,10,10,14,7,12
Solyc02g086510.2,Solyc02g086510.2,20,10,9,15,10,13,14,14,16,21
Solyc02g086520.2,Solyc02g086520.2,61,18,17,44,18,36,35,42,54,33
Solyc02g086530.2,Solyc02g086530.2,0.1,0.9,5,9,0.3,0.9,0.3,7,,0.1
Solyc02g086550.2,Solyc02g086550.2,24,18,16,11,14,15,15,16,14,9
Solyc02g086560.2,Solyc02g086560.2,27,44,29,41,32,26,30,29,35,36
Solyc02g086570.1,Solyc02g086570.1,0.9,0.3,0.2,0.2,0.8,0.9,1,2,0.8,1
Solyc02g086580.2,Solyc02g086580.2,0.2,0.2,5,9,0.2,0.4,0.7,0.5,0.3,0.4
Solyc02g086590.2,Solyc02g086590.2,26,8,2,3,5,8,8,8,3,3
Solyc02g086600.2,Solyc02g086600.2,5,1,2,3,9,10,8,10,3,18
Solyc02g086610.2,Solyc02g086610.2,25,14,17,17,26,26,27,25,20,34
Solyc02g086620.2,Solyc02g086620.2,2,0.4,3,2,1,0.6,,0.9,0.8,
Solyc02g086630.1,Solyc02g086630.1,2,0.9,1,2,4,2,2,0.4,2,1
Solyc02g086640.2,Solyc02g086640.2,20,7,8,9,20,14,11,14,16,23
Solyc02g086650.2,Solyc02g086650.2,0.3,154,39,19,46,21,1,0.4,0.2,0.2
Solyc02g086660.2,Solyc02g086660.2,21,12,18,23,29,26,35,31,19,32
Solyc02g086670.2,Solyc02g086670.2,62,51,55,97,39,42,58,49,104,92
Solyc02g086680.2,Solyc02g086680.2,17,39,49,127,23,32,27,25,38,54
Solyc02g086690.2,Solyc02g086690.2,0.1,,30,158,,,,,,
Solyc02g086700.2,Solyc02g086700.2,319,0.2,0.2,0.1,0.2,2,0.3,0.1,0.1,
Solyc02g086710.2,Solyc02g086710.2,21,58,42,91,44,37,54,47,100,100
Solyc02g086720.1,Solyc02g086720.1,,,,,,,,,0.4,
Solyc02g086730.1,Solyc02g086730.1,36,345,125,152,200,255,256,137,195,139
Solyc02g086740.1,Solyc02g086740.1,5,102,32,49,96,131,121,45,38,15
Solyc02g086750.1,Solyc02g086750.1,39,16,18,25,24,26,31,22,27,36
